nth vaddr      bind type lib          name
------------------------------------------
1   0x004558cc NONE FUNC cw3230mt.DLL _sscanf
2   0x004558d0 NONE FUNC cw3230mt.DLL @xmsg@$bctr$qrx4xmsg
3   0x004558d4 NONE FUNC cw3230mt.DLL _vsprintf
4   0x004558d8 NONE FUNC cw3230mt.DLL @ostream@outstr$qpxct1
5   0x004558dc NONE FUNC cw3230mt.DLL @__DynamicCast$qpvt1t1t1i
6   0x004558e0 NONE FUNC cw3230mt.DLL _memcpy
7   0x004558e4 NONE FUNC cw3230mt.DLL @filebuf@$bdtr$qv
8   0x004558e8 NONE FUNC cw3230mt.DLL @string@assert_element$xqui
9   0x004558ec NONE FUNC cw3230mt.DLL @string@substr$xqui
10  0x004558f0 NONE FUNC cw3230mt.DLL _srand
11  0x004558f4 NONE FUNC cw3230mt.DLL @filebuf@openprot
12  0x004558f8 NONE FUNC cw3230mt.DLL _sprintf
13  0x004558fc NONE FUNC cw3230mt.DLL _memset
14  0x00455900 NONE FUNC cw3230mt.DLL @xmsg@$bctr$qrx6string
15  0x00455904 NONE FUNC cw3230mt.DLL @$brsh$qr7istreamr6string
16  0x00455908 NONE FUNC cw3230mt.DLL @to_lower$qrx6string
17  0x0045590c NONE FUNC cw3230mt.DLL @strchr$qpci
18  0x00455910 NONE FUNC cw3230mt.DLL @string@compare$xqrx6stringuiui
19  0x00455914 NONE FUNC cw3230mt.DLL @TStringRef@$bctr$qpxcuit1uiui
20  0x00455918 NONE FUNC cw3230mt.DLL @string@set_case_sensitive$qi
21  0x0045591c NONE FUNC cw3230mt.DLL @ifstream@$bdtr$qv
22  0x00455920 NONE FUNC cw3230mt.DLL @string@hash$xqv
23  0x00455924 NONE FUNC cw3230mt.DLL @string@append$qpxcuiui
24  0x00455928 NONE FUNC cw3230mt.DLL @istream@$brsh$qrus
25  0x0045592c NONE FUNC cw3230mt.DLL @string@to_upper$qv
26  0x00455930 NONE FUNC cw3230mt.DLL @streambuf@$bdtr$qv
27  0x00455934 NONE FUNC cw3230mt.DLL _strcat
28  0x00455938 NONE FUNC cw3230mt.DLL @to_upper$qrx6string
29  0x0045593c NONE FUNC cw3230mt.DLL @string@$bctr$qrx6string
30  0x00455940 NONE FUNC cw3230mt.DLL @__unlockDebuggerData$qv
31  0x00455944 NONE FUNC cw3230mt.DLL __lrand
32  0x00455948 NONE FUNC cw3230mt.DLL @$bnwa$qui
33  0x0045594c NONE FUNC cw3230mt.DLL @fstreambase@close$qv
34  0x00455950 NONE FUNC cw3230mt.DLL @TStringRef@$bdtr$qv
35  0x00455954 NONE FUNC cw3230mt.DLL _fnsplit
36  0x00455958 NONE FUNC cw3230mt.DLL _strlen
37  0x0045595c NONE FUNC cw3230mt.DLL @string@$bctr$qpxc
38  0x00455960 NONE FUNC cw3230mt.DLL _strtok
39  0x00455964 NONE FUNC cw3230mt.DLL @ifstream@$bctr$qpxcii
40  0x00455968 NONE FUNC cw3230mt.DLL @_ReThrowException$quipuc
