nth paddr          size vaddr         vsize perm flags      type name
---------------------------------------------------------------------
0   0x00000600  0x38a00 0x00401000  0x39000 -r-x 0x60000020 ---- CODE
1   0x00039000  0x14c00 0x0043a000  0x15000 -rw- 0xc0000040 ---- DATA
2   0x0004dc00    0x200 0x0044f000   0x1000 -rw- 0xc0000040 ---- .tls
3   0x0004de00    0x200 0x00450000   0x1000 sr-- 0x50000040 ---- .rdata
4   0x0004e000   0x3400 0x00451000   0x4000 -r-- 0x42000040 ---- .INIT
5   0x00051400   0x1200 0x00455000   0x2000 -rw- 0xc0000040 ---- .idata
6   0x00052600    0x200 0x00457000   0x1000 -r-- 0x40000040 ---- .edata
7   0x00052800   0x4a00 0x00458000   0x5000 sr-- 0x50000040 ---- .reloc
8   0x00057200  0x7c600 0x0045d000  0x7d000 srw- 0xd0000040 ---- .rsrc
